Species;Leaf out;Flowering;Fruiting ;Dispersal;Senescence ;Leaf fall
Achillea millefolium;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Agrostis capillaris;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Agrostis mertensii;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Alchemilla sp.;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Andromeda polifolia;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;none;none
Angelica archangelica;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Antennaria alpina;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Antennaria dioica;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Antennaria lanata;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Antennaria porsildii;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Antennaria sp.;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Anthoxanthum alpinum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Anthriscus sylvestris;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Arabis alpina;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Arabis hirsuta;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Arctostaphylos alpinus;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf, rd,rf;none;ed,r;L 
Astragalus alpinus;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Astragalus frigidus;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Bartsia alpina ;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Betula nana;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;ed,r,gd,g;L
Betula pubescens;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g;L
Bistorta vivipara;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Calamagrostis lapponica;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Calamagrostis neglecta;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Calamagrostis purpurea;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Campanula rotundifolia;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Campanula uniflora;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Cardamine bellidifolia;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Cardamine pratensis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Carex atrata;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Carex atrofusca;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Carex bigelowii;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Carex brunnescens;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Carex capillaris;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Carex capitata;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Carex dioica;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
