Poles,Plot,Subplot
01 to 02,1,1
02 to 03,1,2
03 to 04,1,3
04 to 05,1,4
05 to 06,2,5
06 to 07,2,6
07 to 08,2,7
08 to 09,2,8
09 to 10,3,9
10 to 11,3,10
11 to 12,3,11
12 to 13,3,12
13 to 14,4,13
14 to 15,4,14
15 to 16,4,15
16 to 17,4,16
17 to 18,5,17
18 to 19,5,18
19 to 20,5,19
20 to 21,5,20
21 to 22,6,21
22 to 23,6,22
23 to 24,6,23
24 to 25,6,24
25 to 26,7,25
26 to 27,7,26
27 to 28,7,27
28 to 29,7,28
29 to 30,8,29
30 to 31,8,30
31 to 32,8,31
32 to 33,8,32
33 to 34,9,33
34 to 35,9,34
35 to 36,9,35
36 to 37,9,36
37 to 38,10,37
38 to 39,10,38
39 to 40,10,39
40 to 41,10,40
41 to 42,11,41
42 to 43,11,42
43 to 44,11,43
44 to 45,11,44
45 to 46,12,45
46 to 47,12,46
47 to 48,12,47
48 to 49,12,48
49 to 50,13,49
50 to 51,13,50
51 to 52,13,51
52 to 53,13,52
53 to 54,14,53
54 to 55,14,54
55 to 56,14,55
56 to 57,14,56
57 to 58,15,57
58 to 59,15,58
59 to 60,15,59
60 to 61,15,60
61 to 62,16,61
62 to 63,16,62
63 to 64,16,63
64 to 65,16,64
65 to 66,17,65
66 to 67,17,66
67 to 68,17,67
68 to 69,17,68
69 to 70,18,69
70 to 71,18,70
71 to 72,18,71
72 to 73,18,72
73 to 74,19,73
74 to 75,19,74
75 to 76,19,75
76 to 77,19,76
77 to 78,20,77
78 to 79,20,78
